,title,score,ratings,containsAds,price,free,realInstalls,released,inAppProductPrice,icon
0,Nike Run Club - Running Coach,4.0619783,1069827,False,0.0,True,45355713,"Jun 21, 2012",,https://play-lh.googleusercontent.com/jOl-XQcFGYJg827CP64nZZ43RDZDLp6PXx0du1a0VZAkKvjaUaYt2L5LH72p5xBhgg0
1,MyFitnessPal: Calorie Counter,4.002537,2695717,True,0.0,True,114059210,"Apr 26, 2010",$2.99 - $99.99 per item,https://play-lh.googleusercontent.com/DtR_W1lA1tKsbrr2DUo3TLNzqi9qRyxPqDuCyJeGLU6OMJKqg7CEqs45btRqvDFNDI3Y
2,Home Workout - No Equipment,4.913242,3095876,True,0.0,True,225973263,"Nov 8, 2017",$2.99 - $39.99 per item,https://play-lh.googleusercontent.com/Mxu4YhAr45fbX_iBwi4LiRuSDn9G8R-C_i6PF4Oqys6TqQab2Jl7U5w4WGDtoPwhpTk
3,Planet Fitness Workouts,4.8047733,42668,True,0.0,True,12583969,"Feb 5, 2015",$1.99 - $5.99 per item,https://play-lh.googleusercontent.com/OICnkECAhWjgkWSy2oBo4DJVE1myjJ5TC1YfdQJi6MMPQgEHvyg2YbuSnM4ENJy1t1ok
4,Workout for Women: Fit at Home,4.8188624,597084,True,0.0,True,80330357,"Apr 11, 2018",$2.99 - $39.99 per item,https://play-lh.googleusercontent.com/WxjefjfoZ-s15M377gIZQ68a9rrj_5TLVr3QFRF7TbgruwZ9YcRYqCwqVqERbQ3Kcy8
5,Six Pack in 30 Days,4.9186983,2196660,True,0.0,True,174270602,"Jan 9, 2018",$4.99 per item,https://play-lh.googleusercontent.com/F3g--X2roFmKT3CbyWGzq3I3KlI_KyISlVD_gzU8OZVJw0g5WjOQ3LMAX_udGCmBnng
6,Lose Weight App for Men,4.9224396,1921807,True,0.0,True,100907148,"Mar 7, 2019",$4.99 - $15.99 per item,https://play-lh.googleusercontent.com/ZC_z7M7rdlKutl8hOiXcNKBSxwnPnbTWG_QsBfnhfIAVsVAB6WjWGYgZ3qXHy1N5XEM
7,StepsApp – Step Counter,4.615031,97621,True,0.0,True,8390561,"Aug 28, 2017",$1.99 - $19.99 per item,https://play-lh.googleusercontent.com/x3NOGZ3oPTZZAIbT1KxaJFubC8hFkjtJPe37Q0s1Fnn2pnvOLYiuYjem6dFobtU5m9g
8,Gymshark Training: Fitness App,4.66,2233,False,0.0,True,426454,"Dec 2, 2020",,https://play-lh.googleusercontent.com/Qnu3H2L0oUxCfTzlHyVCZcnrTy6g3O7XAOgvizXvhjk_JC4wQNi7OL6FF8htgjRA1kg
9,The Pump,4.6486487,344,False,0.0,True,47771,"Oct 16, 2022",$9.99 - $99.99 per item,https://play-lh.googleusercontent.com/HleZG0KMb5QkUu2bqN4GKjxkBRPkzh5w6PaSlsk_uFMph0wv1_cUvlyN1dFXYEsj8nPX
10,FitOlympia Pro - Gym Workouts,4.5384617,1464,False,29.0,False,133558,"Jan 30, 2022",,https://play-lh.googleusercontent.com/eCQZ0qQCn2QlkjnSSKzvk_WvVfZe1moeK4q3UC3uVsyNAbjnmUbiiV6k3KWCiZmXSxc
11,Daily Workouts,4.7945204,6949,False,29.99,False,100328,"Dec 3, 2012",,https://play-lh.googleusercontent.com/zHqPgCW3iBfuKfPiClFR3il472GczgFlx3VIiz-8WFSxOVVG_Vw2IAV6knEKZkYabxfZ
12,Pocket Yoga,4.3,2530,False,2.99,False,138553,"Jan 14, 2011",$0.99 - $19.99 per item,https://play-lh.googleusercontent.com/0r97dmmnIe-9OcGkPFTDz2BRDgleTbx83Bm0nsw6rKHtqNWsxbQp9-S49_DWbKEzS2k
13,Boxing Gym Story,4.5643563,3970,False,6.49,False,162638,"Feb 9, 2021",,https://play-lh.googleusercontent.com/SKuO97rWCLbxJ1lYOaY-xHAb1Z2dIdnXsCplwn2hxzirO85MZ7isogLagOKCJEiOD8Y
